['chiumonster', 'http://chiumonster.tumblr.com', 'twitter.com/alexmchiu', '4']
['tiamojimin', 'http://tiamojimin.tumblr.com', 'twitter.com/ositojimin', '6']
['spnfeelstrain', 'http://spnfeelstrain.tumblr.com', 'twitter.com/spnfeelstrain', '13']
['rynezion', 'http://rynezion.tumblr.com', 'twitter.com/rynez_', '5']
['sexatoxbridge', 'http://sexatoxbridge.tumblr.com', 'twitter.com/sexatoxbridge', '13']
['ifntjjong', 'http://ifntjjong.tumblr.com', 'twitter.com/jjong93_net', '5']
['kayla-bird', 'http://kayla-bird.tumblr.com', 'twitter.com/kaylabashe', '5']
['lukealive', 'http://lukealive.tumblr.com', 'twitter.com/LukeJamesAlive', '4']
['hiitaylorlynn', 'http://hiitaylorlynn.tumblr.com', 'twitter.com/hiitaylorlynn', '13']
['colfernygma', 'http://colfernygma.tumblr.com', 'twitter.com/Giulia_Colfer', '5']
['statisky', 'http://statisky.tumblr.com', 'twitter.com/statisky', '8']
['frenchshiro', 'http://frenchshiro.tumblr.com', 'twitter.com/FrenchShiro', '5']
['skyphoi', 'http://skyphoi.tumblr.com', 'twitter.com/skyphoi', '7']
['antidurian', 'http://antidurian.tumblr.com', 'twitter.com/antidurian', '10']
['leapingtitan', 'http://leapingtitan.tumblr.com', 'twitter.com/coastitan', '5']
['cherrytisane', 'https://cherrytisane.tumblr.com/', 'twitter.com/_cherrytisane', '12']
['cwote', 'https://cwote.tumblr.com/', 'twitter.com/imcowte', '2']
['earthtojuli', 'https://earthtojuli.tumblr.com/', 'twitter.com/earthtojuli', '11']
['imwellexcited', 'https://imwellexcited.tumblr.com/', 'twitter.com/imwellexcited', '13']
['soundfanatic', 'https://soundfanatic.tumblr.com/', 'twitter.com/soundfanatic_', '12']
['miggylol', 'https://miggylol.tumblr.com/', 'twitter.com/miggylol', '8']
['fiercelyaries', 'https://fiercelyaries.tumblr.com/', 'twitter.com/fiercelyaries', '13']
['cainfml', 'https://cainfml.tumblr.com/', 'twitter.com/nsfwcain', '4']
['livingroar', 'https://livingroar.tumblr.com/', 'twitter.com/livingroar', '10']
['natachimikotsu', 'https://natachimikotsu.tumblr.com/', 'twitter.com/NatachiMikotsu', '6']
['eggletine', 'https://eggletine.tumblr.com/', 'twitter.com/eggyeggletine', '9']
['daniisntcool', 'https://daniisntcool.tumblr.com/', 'twitter.com/daniisntcool', '12']
['ruthsic', 'https://ruthsic.tumblr.com/', 'twitter.com/ruthsic', '7']
['maddhatter1x', 'https://maddhatter1x.tumblr.com/', 'twitter.com/MaddHatter1x', '7']
